[2022-06-23T13:55:25.608] [INFO] info - get params:{}
[2022-06-23T13:55:25.609] [INFO] info - post params:{"_id":{"__v_isShallow":false,"__v_isRef":true,"_rawValue":"62b057df26fbc4ba1d1fe3d0","_value":"62b057df26fbc4ba1d1fe3d0"},"permissionList":{"checkedKeys":["60e11ac2b993003378ab3094"],"halfCheckedKeys":["60e11a03b993003378ab3073","60e11a8fb993003378ab3088"]}}
[2022-06-23T13:56:03.016] [INFO] info - ***数据库连接成功***
[2022-06-23T13:58:44.047] [INFO] info - get params:{}
[2022-06-23T13:58:44.049] [INFO] info - post params:{}
[2022-06-23T13:58:44.073] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T13:58:44.074] [INFO] info - post params:{}
[2022-06-23T13:58:51.158] [INFO] info - get params:{}
[2022-06-23T13:58:51.159] [INFO] info - post params:{}
[2022-06-23T13:58:51.162] [INFO] info - get params:{}
[2022-06-23T13:58:51.163] [INFO] info - post params:{}
[2022-06-23T13:58:51.168] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T13:58:51.169] [INFO] info - post params:{}
[2022-06-23T13:59:01.590] [INFO] info - get params:{}
[2022-06-23T13:59:01.590] [INFO] info - post params:{"_id":{"__v_isShallow":false,"__v_isRef":true,"_rawValue":"62b057df26fbc4ba1d1fe3d0","_value":"62b057df26fbc4ba1d1fe3d0"},"permissionList":{"checkedKeys":["60e11a99b993003378ab308b","60e11aa9b993003378ab308e","60e11ab7b993003378ab3091","60e11ac2b993003378ab3094","60e11b3bb993003378ab309e","60e11b4ab993003378ab30a1","60e11b56b993003378ab30a4","60e11b5fb993003378ab30a7","60e11b67b993003378ab30aa","60e11ba3b993003378ab30b0","60e11bacb993003378ab30b3","60e11bbab993003378ab30b6","60e11bc2b993003378ab30b9","6299e85222cd05446d94a0fc"],"halfCheckedKeys":["60e11a03b993003378ab3073","60e11a8fb993003378ab3088","60e11b08b993003378ab3097","60e11b99b993003378ab30ad"]}}
[2022-06-23T14:00:45.778] [INFO] info - get params:{}
[2022-06-23T14:00:45.779] [INFO] info - post params:{}
[2022-06-23T14:00:45.784] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:00:45.785] [INFO] info - post params:{}
[2022-06-23T14:00:56.121] [INFO] info - get params:{}
[2022-06-23T14:00:56.122] [INFO] info - post params:{}
[2022-06-23T14:00:56.170] [INFO] info - get params:{}
[2022-06-23T14:00:56.171] [INFO] info - post params:{}
[2022-06-23T14:00:56.178] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:00:56.179] [INFO] info - post params:{}
[2022-06-23T14:01:03.202] [INFO] info - get params:{}
[2022-06-23T14:01:03.202] [INFO] info - post params:{"_id":{"__v_isShallow":false,"__v_isRef":true,"_rawValue":"62b057df26fbc4ba1d1fe3d0","_value":"62b057df26fbc4ba1d1fe3d0"},"permissionList":{"checkedKeys":["60e11a99b993003378ab308b"],"halfCheckedKeys":["60e11a03b993003378ab3073","60e11a8fb993003378ab3088"]}}
[2022-06-23T14:04:01.127] [INFO] info - ***数据库连接成功***
[2022-06-23T14:04:06.695] [INFO] info - get params:{}
[2022-06-23T14:04:06.696] [INFO] info - post params:{}
[2022-06-23T14:04:06.713] [INFO] info - get params:{}
[2022-06-23T14:04:06.715] [INFO] info - post params:{}
[2022-06-23T14:04:06.720] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:04:06.721] [INFO] info - post params:{}
[2022-06-23T14:04:13.934] [INFO] info - get params:{}
[2022-06-23T14:04:13.934] [INFO] info - post params:{"_id":{"__v_isShallow":false,"__v_isRef":true,"_rawValue":"62b057df26fbc4ba1d1fe3d0","_value":"62b057df26fbc4ba1d1fe3d0"},"permissionList":{"checkedKeys":["60e11ba3b993003378ab30b0","60e11bacb993003378ab30b3","60e11bbab993003378ab30b6","60e11bc2b993003378ab30b9"],"halfCheckedKeys":["60e11b99b993003378ab30ad","60e11a03b993003378ab3073"]}}
[2022-06-23T14:05:16.222] [INFO] info - ***数据库连接成功***
[2022-06-23T14:05:24.589] [INFO] info - get params:{}
[2022-06-23T14:05:24.590] [INFO] info - post params:{"_id":{"__v_isShallow":false,"__v_isRef":true,"_rawValue":"62b057df26fbc4ba1d1fe3d0","_value":"62b057df26fbc4ba1d1fe3d0"},"permissionList":{"checkedKeys":["60e11ba3b993003378ab30b0","60e11bacb993003378ab30b3","60e11bbab993003378ab30b6","60e11bc2b993003378ab30b9"],"halfCheckedKeys":["60e11b99b993003378ab30ad","60e11a03b993003378ab3073"]}}
[2022-06-23T14:06:21.094] [INFO] info - get params:{}
[2022-06-23T14:06:21.096] [INFO] info - post params:{}
[2022-06-23T14:06:21.110] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:06:21.111] [INFO] info - post params:{}
[2022-06-23T14:06:52.810] [INFO] info - get params:{}
[2022-06-23T14:06:52.811] [INFO] info - post params:{}
[2022-06-23T14:06:52.818] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:06:52.819] [INFO] info - post params:{}
[2022-06-23T14:06:57.992] [INFO] info - get params:{}
[2022-06-23T14:06:57.993] [INFO] info - post params:{}
[2022-06-23T14:06:58.045] [INFO] info - get params:{}
[2022-06-23T14:06:58.046] [INFO] info - post params:{}
[2022-06-23T14:06:58.052] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:06:58.053] [INFO] info - post params:{}
[2022-06-23T14:07:58.134] [INFO] info - get params:{}
[2022-06-23T14:07:58.135] [INFO] info - post params:{}
[2022-06-23T14:07:58.203] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:07:58.204] [INFO] info - post params:{}
[2022-06-23T14:08:03.457] [INFO] info - get params:{}
[2022-06-23T14:08:03.458] [INFO] info - post params:{}
[2022-06-23T14:08:03.463] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:08:03.464] [INFO] info - post params:{}
[2022-06-23T14:08:08.077] [INFO] info - get params:{}
[2022-06-23T14:08:08.078] [INFO] info - post params:{}
[2022-06-23T14:08:08.117] [INFO] info - get params:{}
[2022-06-23T14:08:08.117] [INFO] info - post params:{}
[2022-06-23T14:08:08.124] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:08:08.126] [INFO] info - post params:{}
[2022-06-23T14:08:17.417] [INFO] info - get params:{}
[2022-06-23T14:08:17.417] [INFO] info - post params:{"_id":{"__v_isShallow":false,"__v_isRef":true,"_rawValue":"62b057df26fbc4ba1d1fe3d0","_value":"62b057df26fbc4ba1d1fe3d0"},"permissionList":{"checkedKeys":["60e11a99b993003378ab308b","60e11aa9b993003378ab308e","60e11ab7b993003378ab3091","60e11ac2b993003378ab3094"],"halfCheckedKeys":["60e11a8fb993003378ab3088","60e11a03b993003378ab3073"]}}
[2022-06-23T14:08:53.849] [INFO] info - get params:{}
[2022-06-23T14:08:53.850] [INFO] info - post params:{}
[2022-06-23T14:08:53.894] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:08:53.895] [INFO] info - post params:{}
